author_id,author_name,author_url,crowdsourced_gender,notes_for_other_gender,crowdsourced_race,notes_for_other_race,comment_about_where_the_info_was_found
1348979706,kenneth d paull,https://academic.microsoft.com/author/1348979706/,male,,White/European,,https://ccr2.cancer.gov/resources/cbl/Alumni/Default.aspx
2102126111,stanley i dodson,https://academic.microsoft.com/author/2102126111/,male,,White/European,,https://limnology.org/notable-limnologists/stanley-i-dodson/
2145115012,yu zheng,https://academic.microsoft.com/author/2145115012/,male,,East Asian,,https://academic.microsoft.com/profile/hj72h14h-3ige-4951-ej36-7g1ji7h1jieh/YuZheng/publication/search?q=Yu%20Zheng&qe=%2540%2540%2540USER.PUBLICATIONS%253Ddf72d14d-3eca-4951-af36-7c1fe7d1fead&f=&orderBy=0
2471362268,hiralal agrawal,https://academic.microsoft.com/author/2471362268/,male,,Indian Subcontinet,,https://spaf.cerias.purdue.edu/students.html
2029079203,patrice chartrand,https://academic.microsoft.com/author/2029079203/,male,,White/European,,https://www.researchgate.net/profile/Patrice_Chartrand
2319987774,chester w gottlieb,https://academic.microsoft.com/author/2319987774/,male,,White/European,,
2252171364,joseph e gonzalez,https://academic.microsoft.com/author/2252171364/,male,,White/European,,https://people.eecs.berkeley.edu/~jegonzal/
512628342,roger b myerson,https://academic.microsoft.com/author/512628342/,male,,White/European,,https://harris.uchicago.edu/directory/roger-myerson
2027494279,stuart ramsden,https://academic.microsoft.com/author/2027494279/,male,,White/European,,
54234561,kalervo jarvelin,https://academic.microsoft.com/author/54234561/,male,,White/European,,https://people.uta.fi/~likaja/
1584891692,jeannette m wing,https://academic.microsoft.com/author/1584891692/,female,,East Asian,,https://en.wikipedia.org/wiki/Jeannette_Wing
2038684069,asher wolinsky,https://academic.microsoft.com/author/2038684069/,male,,White/European,,https://www.economics.northwestern.edu/people/directory/asher-wolinsky.html
2129122817,adrian alexa,https://academic.microsoft.com/author/2129122817/,male,,White/European,,https://www.researchgate.net/profile/Adrian_Alexa
2111969604,alexander l cohen,https://academic.microsoft.com/author/2111969604/,male,,White/European,,https://www.researchgate.net/profile/Alexander_Cohen2
2059781006,sridhar rajagopalan,https://academic.microsoft.com/author/2059781006/,male,,Indian Subcontinet,,
2023460828,torsten n wiesel,https://academic.microsoft.com/author/2023460828/,male,,White/European,,https://academic.microsoft.com/author/2023460828/publication/search?q=Torsten%20N.%20Wiesel&qe=Composite(AA.AuId%253D2023460828)&f=&orderBy=0
2330105029,michael a henning,https://academic.microsoft.com/author/2330105029/,male,,White/European,,https://www.uj.ac.za/research/Pages/Prof-Michael-Henning.aspx
